node_seq	node_type	partition	call	depth	executions	calls_per_exec	host_us	device_us	region_us
0	CudfScan	0	(unattributed)	0	60	1.0	25	0	51904
0	CudfScan	0	cast	0	60	3.0	270	185	51904
0	CudfScan	0	read_parquet	0	60	1.0	51612	29500	51904
0	CudfScan	0	build_string_dict_indices	1	60	1.0	43	8	51904
0	CudfScan	0	copy_bitmask	1	60	3.0	49	21	51904
0	CudfScan	0	decode_page_headers	1	60	1.0	263	68	51904
0	CudfScan	0	decompress_page_data	1	60	2.0	25101	24862	51904
0	CudfScan	0	detect_malformed_pages	1	60	1.0	114	17	51904
0	CudfScan	0	make_strings_column	1	60	0.0	0	0	51904
0	CudfScan	0	mutable_view	1	60	3.0	1	0	51904
0	CudfScan	0	copy_bitmask	2	60	3.0	44	21	51904
0	CudfScan	0	sort_pages	2	60	1.0	89	31	51904
1	CudfFilter	0	(unattributed)	0	60	1.0	572	316	1753
1	CudfFilter	0	apply_boolean_mask	0	60	1.0	236	141	1753
1	CudfFilter	0	binary_operation	0	60	6.0	834	524	1753
1	CudfFilter	0	compute_column	0	60	1.0	62	180	1753
1	CudfFilter	0	copy_bitmask	0	60	5.0	45	23	1753
1	CudfFilter	0	make_strings_column	0	60	0.0	0	0	1753
1	CudfFilter	0	copy_bitmask	1	60	8.0	69	43	1753
1	CudfFilter	0	copy_if	1	60	1.0	236	141	1753
1	CudfFilter	0	make_fixed_width_column	1	60	4.0	24	5	1753
1	CudfFilter	0	make_numeric_column	1	60	0.0	0	0	1753
1	CudfFilter	0	mutable_view	1	60	7.0	1	0	1753
1	CudfFilter	0	allocate_like	2	60	4.0	10	0	1753
1	CudfFilter	0	copy_bitmask	2	60	3.0	26	20	1753
1	CudfFilter	0	make_numeric_column	2	60	4.0	23	5	1753
1	CudfFilter	0	make_strings_column	2	60	0.0	0	0	1753
1	CudfFilter	0	mutable_view	2	60	8.0	1	0	1753
1	CudfFilter	0	allocate_like	3	60	4.0	9	0	1753
1	CudfFilter	0	mutable_view	3	60	0.0	0	0	1753
2	CudfAggregate	0	(unattributed)	0	50	1.0	93	44	590
2	CudfAggregate	0	aggregate	0	50	1.0	364	157	590
2	CudfAggregate	0	binary_operation	0	50	1.0	118	41	590
2	CudfAggregate	0	copy_bitmask	0	50	2.0	15	4	590
2	CudfAggregate	0	make_fixed_width_column	0	50	1.0	2	0	590
2	CudfAggregate	0	mutable_view	0	50	1.0	0	0	590
2	CudfAggregate	0	allocate_like	1	50	2.0	5	0	590
2	CudfAggregate	0	bitmask_and	1	50	1.0	55	6	590
2	CudfAggregate	0	copy_bitmask	1	50	3.0	13	4	590
2	CudfAggregate	0	make_fixed_width_column	1	50	1.0	2	0	590
2	CudfAggregate	0	make_numeric_column	1	50	2.0	4	0	590
2	CudfAggregate	0	mutable_view	1	50	7.0	1	0	590
2	CudfAggregate	0	allocate_like	2	50	2.0	4	0	590
2	CudfAggregate	0	make_fixed_point_column	2	50	1.0	2	0	590
2	CudfCoalescePartitions	0	(unattributed)	0	10	1.0	5	0	186
2	CudfCoalescePartitions	0	concatenate	0	10	1.0	182	30	186
2	CudfCoalescePartitions	0	allocate_like	1	10	2.0	4	0	186
2	CudfCoalescePartitions	0	concatenate	1	10	2.0	162	26	186
2	CudfCoalescePartitions	0	mutable_view	1	10	2.0	0	0	186
2	CudfCoalescePartitions	0	create_strings_device_views	2	10	2.0	116	15	186
2	CudfCoalescePartitions	0	make_numeric_column	2	10	2.0	4	0	186
2	CudfCoalescePartitions	0	make_strings_column	2	10	2.0	0	0	186
2	CudfCoalescePartitions	0	mutable_view	2	10	2.0	0	0	186
3	CudfCoalescePartitions	0	(unattributed)	0	50	1.0	3	0	11
3	CudfCoalescePartitions	0	concatenate	0	50	1.0	7	2	11
3	CudfCoalescePartitions	0	allocate_like	1	50	1.0	2	0	11
3	CudfCoalescePartitions	0	mutable_view	1	50	1.0	0	0	11
3	CudfScan	0	(unattributed)	0	10	1.0	29	0	616704
3	CudfScan	0	cast	0	10	3.0	4265	4196	616704
3	CudfScan	0	read_parquet	0	10	1.0	612402	216666	616704
3	CudfScan	0	build_string_dict_indices	1	10	1.0	162	78	616704
3	CudfScan	0	copy_bitmask	1	10	3.0	51	77	616704
3	CudfScan	0	decode_page_headers	1	10	1.0	757	238	616704
3	CudfScan	0	decompress_page_data	1	10	2.0	73250	71677	616704
3	CudfScan	0	detect_malformed_pages	1	10	1.0	120	20	616704
3	CudfScan	0	make_numeric_column	1	10	1.0	5	0	616704
3	CudfScan	0	make_strings_column	1	10	2.0	1	0	616704
3	CudfScan	0	mutable_view	1	10	4.0	2	0	616704
3	CudfScan	0	copy_bitmask	2	10	3.0	46	77	616704
3	CudfScan	0	sort_pages	2	10	1.0	410	60	616704
4	CudfAggregate	0	(unattributed)	0	50	1.0	71	7	263
4	CudfAggregate	0	aggregate	0	50	1.0	188	39	263
4	CudfAggregate	0	make_fixed_width_column	0	50	1.0	2	0	263
4	CudfAggregate	0	mutable_view	0	50	1.0	0	0	263
4	CudfAggregate	0	allocate_like	1	50	2.0	4	0	263
4	CudfAggregate	0	copy_bitmask	1	50	1.0	1	0	263
4	CudfAggregate	0	make_fixed_width_column	1	50	1.0	2	0	263
4	CudfAggregate	0	make_numeric_column	1	50	2.0	4	0	263
4	CudfAggregate	0	mutable_view	1	50	5.0	1	0	263
4	CudfAggregate	0	allocate_like	2	50	2.0	4	0	263
4	CudfAggregate	0	make_fixed_point_column	2	50	1.0	2	0	263
4	CudfFilter	0	(unattributed)	0	10	1.0	20373	20012	58832
4	CudfFilter	0	apply_boolean_mask	0	10	1.0	2663	2427	58832
4	CudfFilter	0	binary_operation	0	10	17.0	35677	34714	58832
4	CudfFilter	0	copy_bitmask	0	10	16.0	124	218	58832
4	CudfFilter	0	make_strings_column	0	10	3.0	1	0	58832
4	CudfFilter	0	copy_bitmask	1	10	19.0	176	350	58832
4	CudfFilter	0	copy_if	1	10	1.0	2662	2427	58832
4	CudfFilter	0	make_fixed_width_column	1	10	8.0	57	62	58832
4	CudfFilter	0	make_numeric_column	1	10	3.0	7	0	58832
4	CudfFilter	0	mutable_view	1	10	20.0	4	0	58832
4	CudfFilter	0	allocate_like	2	10	4.0	10	0	58832
4	CudfFilter	0	copy_bitmask	2	10	9.0	83	205	58832
4	CudfFilter	0	make_numeric_column	2	10	10.0	60	62	58832
4	CudfFilter	0	make_strings_column	2	10	2.0	1	0	58832
4	CudfFilter	0	mutable_view	2	10	12.0	3	0	58832
4	CudfFilter	0	allocate_like	3	10	4.0	9	0	58832
4	CudfFilter	0	mutable_view	3	10	2.0	0	0	58832
5	CudfCoalescePartitions	0	(unattributed)	0	10	1.0	3	0	23
5	CudfCoalescePartitions	0	concatenate	0	10	1.0	19	5	23
5	CudfCoalescePartitions	0	allocate_like	1	10	1.0	2	0	23
5	CudfCoalescePartitions	0	mutable_view	1	10	1.0	0	0	23
5	CudfHashJoin	0	(unattributed)	0	10	1.0	1014	131	5862
5	CudfHashJoin	0	apply_boolean_mask	0	10	1.0	311	60	5862
5	CudfHashJoin	0	binary_operation	0	10	44.0	2982	550	5862
5	CudfHashJoin	0	compute_column	0	10	3.0	133	19	5862
5	CudfHashJoin	0	copy_bitmask	0	10	48.0	112	16	5862
5	CudfHashJoin	0	gather	0	10	2.0	283	65	5862
5	CudfHashJoin	0	inner_join	0	10	1.0	1028	825	5862
5	CudfHashJoin	0	make_strings_column	0	10	17.0	4	0	5862
