query	label	node_seq	hbm_read_bytes	hbm_write_bytes	hbm_bytes	samples	device_busy_us	device_idle_us
q6	load	0	7384614720	22917273120	30301887840	7764	101413	286772
q6	execute	0	1966189680	3853155600	5819345280	104	1397	3802
q6	execute	1	1882164480	3749924640	5632089120	28	1402	32
q6	execute	2	1908572400	3783534720	5692107120	29	1400	19
q6	execute	3	1013103840	319295760	1332399600	70	1280	2218
q6	execute	4	998699520	273682080	1272381600	72	1270	2313
q6	execute	5	3807541920	254476320	4062018240	34	1629	88
q6	execute	6	3826747680	271281360	4098029040	77	1629	2219
q6	execute	7	3817144800	256877040	4074021840	34	1632	80
q6	execute	8	561768480	280884240	842652720	73	1655	1987
q6	execute	9	532959840	256877040	789836880	35	1650	75
q6	execute	10	520956240	247274160	768230400	34	1649	69
q6	execute	11	525757680	252075600	777833280	34	1649	64
q6	execute	12	799439760	189656880	989096640	138	799	6116
q6	execute	13	165649680	81624480	247274160	64	91	3132
q6	execute	14	189656880	290487120	480144000	210	45	10443
q1	load	0	11365008480	34949681760	46314690240	8690	148953	285585
q1	execute	0	1925377440	3807541920	5732919360	29	1397	31
q1	execute	1	1884565200	3754726080	5639291280	28	1393	20
q1	execute	2	1944583200	3826747680	5771330880	29	1401	18
q1	execute	3	1867760160	3735520320	5603280480	28	1399	19
q1	execute	4	984295200	285685680	1269980880	27	1282	79
q1	execute	5	29596076160	18319894320	47915970480	580	28611	352
q1	execute	6	3824346960	3800339760	7624686720	75	2712	1063
q1	execute	7	3797939040	3761928240	7559867280	75	2705	1040
q1	execute	8	7468639920	3742722480	11211362400	77	3728	83
q1	execute	9	7466239200	3759527520	11225766720	76	3722	69
q1	execute	10	3752325360	1834150080	5586475440	83	4132	49
q1	execute	11	3769130400	1810142880	5579273280	83	4133	19
q1	execute	12	3778733280	1817345040	5596078320	83	4137	19
q1	execute	13	114879253440	50076618480	164955871920	4181	179144	29903
q1	execute	14	7202160	0	7202160	4	134	87
q1	execute	15	21606480	0	21606480	11	47	470
q3	load	0	1702110480	1759727760	3461838240	802	34336	5754
q3	load	1	3524256960	5785735200	9309992160	1782	53557	35507
q3	load	2	14644392000	31701507600	46345899600	10688	169838	364565
q3	execute	0	96028800	60018000	156046800	56	105	2676
q3	execute	1	43212960	12003600	55216560	3	50	138
q3	execute	2	242472720	67220160	309692880	8	332	73
q3	execute	3	1325197440	816244800	2141442240	27	1230	122
q3	execute	4	991497360	273682080	1265179440	45	1272	977
q3	execute	5	6397918800	4165249200	10563168000	114	5572	120
q3	execute	6	991497360	304891440	1296388800	156	5986	1817
q3	execute	7	513754080	100830240	614584320	7	238	101
q3	execute	8	14930077680	722616720	15652694400	460	22880	120
q3	execute	9	4801440	4801440	9602880	2	57	67
q3	execute	10	122436720	36010800	158447520	3	58	60
q3	execute	11	0	0	0	0	9	28
q3	execute	12	9602880	12003600	21606480	1	10	24
q3	execute	13	4801440	21606480	26407920	2	34	71
q3	execute	14	28808640	31209360	60018000	3	40	73
q3	execute	15	124837440	108032400	232869840	31	1134	404
q3	execute	16	36010800	28808640	64819440	13	571	79
q3	execute	17	4801440	2400720	7202160	2	37	73
q8	load	0	1860558000	2172651600	4033209600	876	36471	7344
q8	load	1	1464439200	1538861520	3003300720	643	30681	1446
q8	load	2	23529456720	35893164720	59422621440	8451	273933	148615
q8	load	3	3279383520	5252775360	8532158880	1337	53166	13692
q8	load	4	1586875920	1838951520	3425827440	749	32023	5412
q8	load	5	57617280	64819440	122436720	28	241	1158
q8	load	6	26407920	43212960	69620880	23	194	940
q8	execute	0	7202160	7202160	14404320	3	19	141
q8	execute	1	4801440	4801440	9602880	2	13	103
q8	execute	2	9602880	9602880	19205760	4	31	134
q8	execute	3	2400720	2400720	4801440	1	7	60
q8	execute	4	81624480	60018000	141642480	19	826	108
q8	execute	5	2400720	2400720	4801440	1	29	58
q8	execute	6	247274160	72021600	319295760	8	334	73
q8	execute	7	247274160	67220160	314494320	8	333	70
q8	execute	8	127238160	57617280	184855440	10	425	67
q8	execute	9	713013840	446533920	1159547760	16	700	102
q8	execute	10	662598720	192057600	854656320	78	3787	105
q8	execute	11	180054000	38411520	218465520	3	111	62
q8	execute	12	103230960	14404320	117635280	5	145	122
q8	execute	13	9602880	4801440	14404320	2	37	86
q8	execute	14	4362108240	1747724160	6109832400	765	38093	124
q8	execute	15	511353360	50415120	561768480	6	240	71
q8	execute	16	139241760	57617280	196859040	17	728	102
q8	execute	17	7202160	4801440	12003600	2	22	70
q8	execute	18	2400720	2400720	4801440	1	12	55
q8	execute	19	12003600	12003600	24007200	5	134	103
q8	execute	20	2400720	0	2400720	1	14	62
q8	execute	21	4801440	4801440	9602880	2	9	53
q8	execute	22	2400720	0	2400720	1	9	54
q8	execute	23	4801440	7202160	12003600	3	54	116
q8	execute	24	0	4801440	4801440	2	12	59
q8	execute	25	2400720	2400720	4801440	1	8	53
q8	execute	26	7202160	4801440	12003600	3	27	127
q8	execute	27	2400720	2400720	4801440	1	3	26
q8	execute	28	0	0	0	0	3	22
q8	execute	29	2400720	2400720	4801440	2	18	78
q8	execute	30	4801440	4801440	9602880	2	17	69
q8	execute	31	14404320	2400720	16805040	26	3	1262
q8	execute	32	7202160	4801440	12003600	3	23	142
q8	execute	33	14404320	2400720	16805040	58	4	2854
q8	execute	34	199259760	38411520	237671280	418	104	20803
q8	execute	35	0	0	0	0	2	23
q8	execute	36	2400720	2400720	4801440	1	1	20
q8	execute	37	0	0	0	0	2	22
q8	execute	38	4801440	4801440	9602880	3	15	100
q8	execute	39	4801440	2400720	7202160	2	13	119
