# hbm_bytes per cuDF call, from an Nsight capture with GPU metrics on.
# The coordinates are records.tsv's, and joining on all of them is the point:
#   this file's TIMES are not usable — a capture costs the query ~7%, a heavy
#   scan ~11% — so it carries traffic, and the times come from a clean run.
# device_busy_us/device_idle_us are here as a READING of this capture, not as
#   a measurement to fit: idle inside a call is the device waiting through the
#   host prologue, and it says whether a thin sample count is a short call or
#   a stalled one.
# samples = GPU metric samples inside the call. Under ~10 the integral is an
#   estimate from too few points; the fit should weight or drop those rows.
dataset	sf	query	mode	node_seq	node_type	lane	recipe_seq	recipe_kind	call_index	run_index	hbm_read_bytes	hbm_write_bytes	hbm_bytes	samples	device_busy_us	device_idle_us
tpch	40	q19	bp-tp1-single	8	GpuProject	0	10	CudfProject	0	0	0	0	0	0	1	13
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	7	CudfCoalescePartitions	0	0	0	0	0	1	1	19
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	8	CudfAggregate{Merge}	0	0	9600000	0	9600000	6	53	232
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	9	CudfProject{finalize}	0	0	0	0	0	0	1	14
tpch	40	q19	bp-tp1-single	6	GpuAggregate	0	6	CudfAggregate{Partial}	0	0	24000000	2400000	26400000	12	113	483
tpch	40	q19	bp-tp1-single	5	GpuJoin	0	5	CudfHashJoin{Inner}	0	0	285600000	168000000	453600000	119	1794	4182
tpch	40	q19	bp-tp1-single	2	GpuCoalesceAllBatches	0	2	CudfCoalescePartitions	0	0	4800000	12000000	16800000	5	31	193
tpch	40	q19	bp-tp1-single	1	GpuFilter	0	1	CudfFilter	0	0	3120000000	1807200000	4927200000	167	4607	3769
tpch	40	q19	bp-tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	0	1792800000	2323200000	4116000000	910	35961	9557
tpch	40	q19	bp-tp1-single	4	GpuFilter	0	4	CudfFilter	0	0	71126400000	36261600000	107388000000	1176	57252	1592
tpch	40	q19	bp-tp1-single	3	GpuLoadParquet	0	3	CudfScan	0	0	23486400000	57883200000	81369600000	12534	217417	409284
tpch	40	q19	bp-tp1-single	8	GpuProject	0	10	CudfProject	0	1	2400000	0	2400000	1	1	11
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	7	CudfCoalescePartitions	0	1	2400000	0	2400000	1	1	17
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	8	CudfAggregate{Merge}	0	1	9600000	0	9600000	5	55	222
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	9	CudfProject{finalize}	0	1	0	0	0	0	1	13
tpch	40	q19	bp-tp1-single	6	GpuAggregate	0	6	CudfAggregate{Partial}	0	1	24000000	0	24000000	12	113	473
tpch	40	q19	bp-tp1-single	5	GpuJoin	0	5	CudfHashJoin{Inner}	0	1	297600000	158400000	456000000	116	1784	4041
tpch	40	q19	bp-tp1-single	2	GpuCoalesceAllBatches	0	2	CudfCoalescePartitions	0	1	4800000	9600000	14400000	5	31	197
tpch	40	q19	bp-tp1-single	1	GpuFilter	0	1	CudfFilter	0	1	3136800000	1864800000	5001600000	168	4610	3807
tpch	40	q19	bp-tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	1	1819200000	2325600000	4144800000	908	35933	9445
tpch	40	q19	bp-tp1-single	4	GpuFilter	0	4	CudfFilter	0	1	71172000000	36304800000	107476800000	1177	57248	1610
tpch	40	q19	bp-tp1-single	3	GpuLoadParquet	0	3	CudfScan	0	1	23318400000	57852000000	81170400000	12312	217303	398275
tpch	40	q19	bp-tp1-single	8	GpuProject	0	10	CudfProject	0	2	2400000	0	2400000	1	1	11
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	7	CudfCoalescePartitions	0	2	0	0	0	0	1	19
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	8	CudfAggregate{Merge}	0	2	2400000	0	2400000	6	53	232
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	9	CudfProject{finalize}	0	2	0	0	0	0	1	16
tpch	40	q19	bp-tp1-single	6	GpuAggregate	0	6	CudfAggregate{Partial}	0	2	24000000	2400000	26400000	12	112	501
tpch	40	q19	bp-tp1-single	5	GpuJoin	0	5	CudfHashJoin{Inner}	0	2	316800000	182400000	499200000	118	1785	4115
tpch	40	q19	bp-tp1-single	2	GpuCoalesceAllBatches	0	2	CudfCoalescePartitions	0	2	7200000	9600000	16800000	5	32	192
tpch	40	q19	bp-tp1-single	1	GpuFilter	0	1	CudfFilter	0	2	3103200000	1802400000	4905600000	167	4602	3768
tpch	40	q19	bp-tp1-single	0	GpuLoadParquet	0	0	CudfScan	0	2	1783200000	2316000000	4099200000	903	35941	9236
tpch	40	q19	bp-tp1-single	4	GpuFilter	0	4	CudfFilter	0	2	71224800000	36321600000	107546400000	1181	57253	1771
tpch	40	q19	bp-tp1-single	3	GpuLoadParquet	0	3	CudfScan	0	2	23392800000	57760800000	81153600000	12293	217297	397357
tpch	40	q19	bp-tp1-single	8	GpuProject	0	10	CudfProject	0	3	0	0	0	0	1	11
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	7	CudfCoalescePartitions	0	3	2400000	0	2400000	1	1	16
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	8	CudfAggregate{Merge}	0	3	4800000	0	4800000	5	53	236
tpch	40	q19	bp-tp1-single	7	GpuAggregateBatches	0	9	CudfProject{finalize}	0	3	0	0	0	1	1	13
