# peacockdb cost-model calibration record (#153). One row per timed region — per
# (node, output partition), not per node: the partitioned branches time each partition
# separately, and a hash repartition bills its shared concat+scatter prologue to p0.
# source = which engine produced the row. peacockdb pays a host prologue that bare cuDF
#   has no analogue for; that difference is what const_peacock is fitted to, so rows
#   from the two sources are not interchangeable.
# peacock_host_us = host time before the region's first device touch.
# cudf_host_us = host time from that touch to the end of the region. Under
#   timing_mode=sync it CONTAINS the device execution and device_us is 0; under events
#   it does not. Not launch cost in either mode — cuDF and rmm synchronize internally.
# device_us = between the region's CUDA events. events mode only.
# wall_us = peacock_host_us + cudf_host_us, the host side of the region.
# cuda_bytes = the bytes this region's category is charged for; the regressor. Equal to
#   out_bytes on the peacockdb source, the mapped call's bytes on the bare-cuDF one.
# in_rows/in_bytes = summed over ALL children, unlike the .cpu.txt golden, which
#   renders the first child's.
# hbm_bytes is NOT here: it comes from Nsight and joins on (query, node_seq).
# timing_mode, build_profile and allocator each change what the microseconds MEAN. Rows
#   disagreeing on any of them are not comparable — hence columns, not a run heading.
source	dataset	sf	query	label	node_seq	node_type	category	partitions	partition	in_rows	in_bytes	out_rows	out_bytes	cuda_bytes	peacock_host_us	cudf_host_us	device_us	wall_us	timing_mode	build_profile	allocator
peacockdb	tpcds	1	q10	full_table-tp1-standard	37	GpuSortExec	cuda_sort_bytes	1	0	6	684	6	684	684	2	1124	1123	1126	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q10	full_table-tp1-standard	36	GpuProjectExec	cuda_project_bytes	1	0	6	439	6	684	684	1	260	259	261	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q10	full_table-tp1-standard	35	GpuAggregateExec	cuda_aggregate_bytes	1	0	6	390	6	439	439	3	716	715	719	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q10	full_table-tp1-standard	34	GpuCoalesceBatchesExec	cuda_passthrough_bytes	1	0	6	390	6	390	390	0	0	0	0	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q10	full_table-tp1-standard	33	GpuFilterExec	cuda_filter_bytes	1	0	92	5923	6	390	390	2	575	574	577	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q10	full_table-tp1-standard	32	GpuCoalesceBatchesExec	cuda_passthrough_bytes	1	0	92	5923	92	5923	5923	0	0	0	0	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q10	full_table-tp1-standard	31	GpuHashJoinExec	cuda_hash_join_bytes	1	0	54429	889625	92	5923	5923	2	643	643	645	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q10	full_table-tp1-standard	24	GpuCoalesceBatchesExec	cuda_passthrough_bytes	1	0	92	6647	92	6647	6647	0	0	0	0	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q10	full_table-tp1-standard	23	GpuHashJoinExec	cuda_hash_join_bytes	1	0	27880	458179	92	6647	6647	1	418	417	419	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q10	full_table-tp1-standard	16	GpuCoalesceBatchesExec	cuda_passthrough_bytes	1	0	92	6623	92	6623	6623	0	0	0	0	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
