dataset,sf,query,plan,ftc_tp1,ftc_tp8,partitioned_cpu,full_table_gpu,partitioned_gpu,bp_tp1_single,bp_tp1_rowgroup,bp_tp4_single,bp_tp4_rowgroup,bp_tp4_sized,plan_status,features,tickets
tpcds,1,q1,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,corr_subquery avg top_n,
tpcds,1,q2,enabled,na,enabled,na,na,na,enabled,enabled,enabled,enabled,enabled,ok,corr_subquery,56
tpcds,1,q3,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,corr_subquery top_n,
tpcds,1,q4,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,corr_subquery top_n,
tpcds,1,q5,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,rollup top_n outer_join,65 97
tpcds,1,q6,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,corr_subquery avg top_n,
tpcds,1,q7,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,avg top_n,
tpcds,1,q8,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,top_n,
tpcds,1,q9,enabled,na,enabled,na,na,na,enabled,enabled,enabled,enabled,enabled,ok,avg,63
tpcds,1,q10,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,semi_join corr_subquery top_n,97
tpcds,1,q11,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,corr_subquery top_n,
tpcds,1,q12,enabled,enabled,enabled,na,enabled,na,disabled,disabled,disabled,disabled,disabled,ok,window_functions top_n,32 143
tpcds,1,q13,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,avg,
tpcds,1,q14,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,rollup semi_join avg top_n,65 97
tpcds,1,q15,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,top_n,
tpcds,1,q16,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,anti_join semi_join corr_subquery count_distinct top_n,97 59 80 62
tpcds,1,q17,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,ok,stddev_var avg top_n,
tpcds,1,q18,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,rollup avg top_n,65
tpcds,1,q19,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,top_n,
tpcds,1,q20,enabled,enabled,enabled,na,enabled,na,disabled,disabled,disabled,disabled,disabled,ok,window_functions top_n,32 143
tpcds,1,q21,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,top_n,
tpcds,1,q22,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,rollup avg top_n,65
tpcds,1,q23,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,top_n,
tpcds,1,q24,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,avg,45
tpcds,1,q25,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,top_n,
tpcds,1,q26,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,avg top_n,
tpcds,1,q27,disabled,na,disabled,na,na,na,na,na,na,na,na,fail,avg top_n,23
tpcds,1,q28,enabled,na,enabled,na,na,na,disabled,disabled,disabled,disabled,disabled,ok,avg count_distinct top_n,62
tpcds,1,q29,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,top_n,
tpcds,1,q30,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,corr_subquery avg top_n,
tpcds,1,q31,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,corr_subquery,
tpcds,1,q32,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,avg top_n,
tpcds,1,q33,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,semi_join top_n,97
tpcds,1,q34,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,corr_subquery,
tpcds,1,q35,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,semi_join corr_subquery avg top_n,97
tpcds,1,q36,enabled,na,enabled,na,na,na,disabled,disabled,disabled,disabled,disabled,ok,window_functions top_n,32 143
tpcds,1,q37,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,top_n,
tpcds,1,q38,enabled,na,enabled,na,na,na,enabled,enabled,enabled,enabled,enabled,ok,corr_subquery top_n,115
tpcds,1,q39,enabled,na,enabled,na,na,na,enabled,enabled,enabled,enabled,enabled,ok,corr_subquery stddev_var avg,57
tpcds,1,q40,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,top_n outer_join,97
tpcds,1,q41,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,top_n,
tpcds,1,q42,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,corr_subquery top_n,
tpcds,1,q43,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,top_n,
tpcds,1,q44,enabled,na,enabled,na,na,na,disabled,disabled,disabled,disabled,disabled,ok,window_functions corr_subquery avg top_n,32 143
tpcds,1,q45,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,semi_join top_n,97
tpcds,1,q46,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,corr_subquery top_n,
tpcds,1,q47,enabled,na,enabled,na,na,na,disabled,disabled,disabled,disabled,disabled,ok,window_functions corr_subquery avg top_n,32 143
tpcds,1,q48,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,,
tpcds,1,q49,enabled,na,enabled,na,na,na,disabled,disabled,disabled,disabled,disabled,ok,window_functions corr_subquery top_n outer_join,32 97 143
tpcds,1,q50,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,top_n,
tpcds,1,q51,enabled,enabled,enabled,na,enabled,na,disabled,disabled,disabled,disabled,disabled,ok,window_functions corr_subquery top_n outer_join,32 97 143
tpcds,1,q52,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,corr_subquery top_n,
tpcds,1,q53,enabled,enabled,enabled,na,enabled,na,disabled,disabled,disabled,disabled,disabled,ok,window_functions avg top_n,32 143
tpcds,1,q54,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,top_n,
tpcds,1,q55,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,top_n,
tpcds,1,q56,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,semi_join top_n,97
tpcds,1,q57,enabled,na,enabled,na,na,na,disabled,disabled,disabled,disabled,disabled,ok,window_functions corr_subquery avg top_n,32 143
tpcds,1,q58,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,semi_join corr_subquery top_n,97
tpcds,1,q59,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,corr_subquery top_n,
tpcds,1,q60,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,semi_join top_n,97
tpcds,1,q61,enabled,na,enabled,na,na,na,enabled,enabled,enabled,enabled,enabled,ok,top_n,46
tpcds,1,q62,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,top_n,
tpcds,1,q63,enabled,enabled,enabled,na,enabled,na,disabled,disabled,disabled,disabled,disabled,ok,window_functions avg top_n,32 143
tpcds,1,q64,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,corr_subquery,
tpcds,1,q65,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,corr_subquery avg top_n,
tpcds,1,q66,enabled,na,enabled,na,na,na,enabled,enabled,enabled,enabled,enabled,ok,top_n,55
tpcds,1,q67,enabled,na,enabled,na,na,na,disabled,disabled,disabled,disabled,disabled,ok,window_functions rollup top_n,32 65 143
tpcds,1,q68,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,corr_subquery top_n,
tpcds,1,q69,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,anti_join semi_join corr_subquery top_n,97 59 80
tpcds,1,q70,disabled,na,disabled,na,na,na,na,na,na,na,na,fail,window_functions rollup semi_join top_n,23 32 65 97 143
tpcds,1,q71,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,,
tpcds,1,q72,disabled,na,disabled,na,na,na,na,na,na,na,na,fail,corr_subquery top_n outer_join,23 97
tpcds,1,q73,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,corr_subquery,
tpcds,1,q74,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,corr_subquery top_n,
tpcds,1,q75,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,corr_subquery top_n outer_join,97
tpcds,1,q76,enabled,na,enabled,na,na,na,enabled,enabled,enabled,enabled,enabled,ok,top_n,115
tpcds,1,q77,enabled,na,enabled,na,na,na,enabled,enabled,enabled,enabled,enabled,ok,rollup corr_subquery top_n outer_join,47 65 97
tpcds,1,q78,enabled,na,enabled,na,na,na,enabled,enabled,enabled,enabled,enabled,ok,top_n outer_join,60 97
tpcds,1,q79,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,corr_subquery top_n,
tpcds,1,q80,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,rollup top_n outer_join,65 97
tpcds,1,q81,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,corr_subquery avg top_n,
tpcds,1,q82,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,top_n,
tpcds,1,q83,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,semi_join corr_subquery top_n,97
tpcds,1,q84,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,top_n,
tpcds,1,q85,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,corr_subquery avg top_n,
tpcds,1,q86,disabled,na,disabled,na,na,na,na,na,na,na,na,fail,window_functions rollup top_n,23 32 65 143
tpcds,1,q87,enabled,na,enabled,na,na,na,enabled,enabled,enabled,enabled,enabled,ok,corr_subquery,115 80
tpcds,1,q88,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,,
tpcds,1,q89,enabled,enabled,enabled,na,enabled,na,disabled,disabled,disabled,disabled,disabled,ok,window_functions avg top_n,32 143
tpcds,1,q90,enabled,enabled,enabled,na,enabled,na,enabled,enabled,enabled,enabled,enabled,ok,top_n,
