+---------------------+--------+---------------------+----------------------+--------------------+----------------------+
| ca_county           | d_year | web_q1_q2_increase  | store_q1_q2_increase | web_q2_q3_increase | store_q2_q3_increase |
+---------------------+--------+---------------------+----------------------+--------------------+----------------------+
| Atchison County     | 2000   | 0.9795948803507512  | 0.3388111930711964   | 7.4403049825786125 | 1.7884632484435243   |
| Bacon County        | 2000   | 1.0906723310280557  | 0.1531869187014321   | 1.196619858501741  | 0.8340860897602097   |
| Berkshire County    | 2000   | 1.8410936935868056  | 1.222157174513842    | 1.5641536075208047 | 1.2466351897475176   |
| Blue Earth County   | 2000   | 8.913248334931922   | 0.5417564888433046   | 0.391444310731181  | 0.38590901826126645  |
| Bourbon County      | 2000   | 1.9402261545458306  | 0.778069477528128    | 1.5609248945829117 | 1.2274453112817505   |
| Boyd County         | 2000   | 1.2199727311931627  | 1.0842674136672088   | 1.2709037436592028 | 1.2041924397110477   |
| Bradley County      | 2000   | 2.7131774017128882  | 0.961175914392867    | 1.376919502996531  | 0.6941766163176121   |
| Buchanan County     | 2000   | 0.8289268234704146  | 0.7103180988067361   | 6.950155195704705  | 2.0546320927108597   |
| Cass County         | 2000   | 1.6941302268329852  | 1.1472348987292789   | 2.702644199810796  | 1.265409237688202    |
| Cook County         | 2000   | 1.7877246756621437  | 0.8477091760696074   | 2.2000987777746017 | 1.574454650424229    |
| Corson County       | 2000   | 1.7093378236366468  | 0.24712698190651985  | 1.6936727004770467 | 1.5803968510372746   |
| Edmonson County     | 2000   | 0.6717521669067321  | 0.4932603414247333   | 2.575951260814484  | 0.9825625820274522   |
| Ferry County        | 2000   | 1.8248216677543185  | 0.3231318394184734   | 1.9244383393938511 | 1.2100861190772139   |
| Fillmore County     | 2000   | 0.7897306057538122  | 0.25858895846971447  | 1.6654770861445058 | 1.1492184607906173   |
| Fremont County      | 2000   | 3.2190345773853206  | 0.49478600710351833  | 1.853122998879315  | 1.549095175904772    |
| Gaston County       | 2000   | 1.1946044282304542  | 0.3360710595145514   | 4.564338454766003  | 1.5592771454551635   |
| Gates County        | 2000   | 0.9122210360036812  | 0.26179766441726376  | 2.8892960853646485 | 2.255780293607123    |
| Green County        | 2000   | 0.7748782840275216  | 0.3308233160630301   | 5.185149904347357  | 3.9122953558996247   |
| Greene County       | 2000   | 0.8881252021178612  | 0.830953728665327    | 2.0499749346402254 | 1.9875796936710595   |
| Harris County       | 2000   | 0.897005949747335   | 0.2396504707076165   | 3.739830432076241  | 1.6288983698689175   |
| Heard County        | 2000   | 3.370087800534023   | 1.8624461891966553   | 1.6370831978143499 | 0.5868312330568559   |
| Houston County      | 2000   | 1.3901045284463016  | 1.1065778174025667   | 1.990538572628658  | 1.5304128915687776   |
| Lake County         | 2000   | 1.2830378541527487  | 0.8820090872314242   | 1.3659821600909146 | 1.223152169403065    |
| Lamar County        | 2000   | 0.848381448771296   | 0.7759889200904393   | 4.5200951504838685 | 2.1868669236308595   |
| Marion County       | 2000   | 1.0690300455346962  | 0.8262537221364742   | 2.758457444613016  | 1.8797148559491321   |
| Mitchell County     | 2000   | 3.530864575166345   | 1.0903434698873373   | 2.042721502393998  | 1.4371667312399206   |
| Mora County         | 2000   | 2.108264798030659   | 0.4296513713154433   | 1.442197048855865  | 0.8917897167016828   |
| Nicholas County     | 2000   | 2.321985048861477   | 2.0519377692962752   | 3.8051374257085846 | 1.2031775319357405   |
| Oceana County       | 2000   | 1.0824412464589235  | 0.8458791688267177   | 1.1667595145335106 | 0.9356300529883236   |
| Pocahontas County   | 2000   | 0.9248355183941309  | 0.7056677212995193   | 1.8973929301768795 | 1.062891013304844    |
| Pottawatomie County | 2000   | 0.43688690461219715 | 0.3647198117799223   | 3.291989743486017  | 2.7784016658133486   |
| Refugio County      | 2000   | 0.7240235513218962  | 0.5448667102215788   | 2.715205714413352  | 1.385720862614478    |
| Santa Cruz County   | 2000   | 1.15241706366011    | 1.1178227275523929   | 2.8317051357082197 | 1.9894743066797511   |
| Smith County        | 2000   | 1.0493901330838584  | 0.49640489976248253  | 3.90088132264112   | 3.711118404246974    |
| Stanton County      | 2000   | 2.394973571214182   | 0.954097193444884    | 0.9796669452048216 | 0.8942498378432318   |
| Stark County        | 2000   | 2.801957795292815   | 1.3403772710831394   | 2.303575028473621  | 0.7779748888043378   |
| Stone County        | 2000   | 0.947343662414152   | 0.8402780958447573   | 5.93523522070584   | 1.2373672239056335   |
| Tooele County       | 2000   | 2.0267788198224395  | 0.5416134933469773   | 1.1747947598369823 | 0.6958295752968645   |
| Vernon County       | 2000   | 2.2627115222394383  | 1.6267283366891603   | 1.7707867807298987 | 1.237619558339429    |
| Wabash County       | 2000   | 1.1113614571587216  | 0.6868355268960608   | 2.1801611697586747 | 1.612175695099944    |
| Wayne County        | 2000   | 2.6380137239623234  | 0.6751408984178652   | 2.9415385372663225 | 2.414871392819024    |
| Webster County      | 2000   | 0.6040051834353676  | 0.5885615386330384   | 3.008916135410905  | 1.7301875772604154   |
| Wheeler County      | 2000   | 1.6105476032335009  | 0.6059635095417838   | 0.8178013079504877 | 0.7888897925657636   |
| Williamson County   | 2000   | 1.6147445368445037  | 0.4438731346882961   | 4.080301148442939  | 3.3426874944782217   |
+---------------------+--------+---------------------+----------------------+--------------------+----------------------+
