+---------------+-------------+
| i_manufact_id | total_sales |
+---------------+-------------+
| 1000          | 8756.30     |
| 166           | 11230.73    |
| 358           | 10101.34    |
| 363           | 10876.09    |
| 376           | 11433.19    |
| 386           | 7008.50     |
| 396           | 12744.22    |
| 419           | 11099.40    |
| 422           | 13634.68    |
| 430           | 11761.86    |
| 464           | 2820.49     |
| 472           | 10647.86    |
| 482           | 3949.49     |
| 484           | 10301.91    |
| 519           | 12470.81    |
| 555           | 10260.50    |
| 556           | 8440.53     |
| 564           | 13186.25    |
| 581           | 12223.47    |
| 590           | 9700.72     |
| 607           | 11817.18    |
| 619           | 11012.10    |
| 652           | 13193.69    |
| 655           | 9666.02     |
| 668           | 4983.54     |
| 682           | 3886.96     |
| 692           | 11953.52    |
| 697           | 607.87      |
| 698           | 4197.54     |
| 704           | 4137.47     |
| 705           | 3233.11     |
| 708           | 12030.48    |
| 709           | 3593.01     |
| 710           | 861.38      |
| 711           | 4765.75     |
| 713           | 6696.51     |
| 723           | 9667.53     |
| 733           | 3587.59     |
| 738           | 355.78      |
| 740           | 10060.25    |
| 741           | 558.50      |
| 764           | 12163.19    |
| 766           | 10534.33    |
| 770           | 11282.09    |
| 772           | 11868.89    |
| 774           | 6121.74     |
| 780           | 5247.14     |
| 783           | 2588.40     |
| 784           | 1472.78     |
| 785           | 977.68      |
| 789           | 3061.58     |
| 794           | 4237.77     |
| 795           | 6379.88     |
| 797           | 10772.56    |
| 798           | 6055.88     |
| 799           | 5984.12     |
| 806           | 11113.64    |
| 807           | 11275.00    |
| 810           | 12588.58    |
| 811           | 7459.85     |
| 812           | 3956.44     |
| 821           | 298.16      |
| 824           | 636.01      |
| 826           | 13393.73    |
| 828           | 11099.19    |
| 832           | 9582.71     |
| 838           | 4293.86     |
| 840           | 4222.19     |
| 841           | 12764.76    |
| 849           | 1265.74     |
| 851           | 8889.27     |
| 853           | 4555.12     |
| 855           | 10626.45    |
| 860           | 12525.53    |
| 872           | 7620.85     |
| 880           | 1770.51     |
| 886           | 13322.77    |
| 887           | 9698.00     |
| 898           | 7720.89     |
| 899           | 6013.24     |
| 910           | 10998.62    |
| 920           | 7863.79     |
| 928           | 3611.76     |
| 929           | 47.03       |
| 936           | 1254.44     |
| 938           | 804.30      |
| 939           | 8794.90     |
| 946           | 2560.84     |
| 947           | 6848.14     |
| 963           | 10014.23    |
| 965           | 2550.56     |
| 966           | 11517.48    |
| 968           | 13445.58    |
| 969           | 10138.23    |
| 974           | 9739.11     |
| 977           | 10475.47    |
| 981           | 8861.58     |
| 986           | 13680.84    |
| 990           | 1635.12     |
| 995           | 12083.59    |
+---------------+-------------+
