+-------------+--------------+----------------+----------------+------------------+----------+-----------+
| c_last_name | c_first_name | ca_city        | bought_city    | ss_ticket_number | amt      | profit    |
+-------------+--------------+----------------+----------------+------------------+----------+-----------+
|             |              | Antioch        | Belmont        | 149232           | 2866.05  | -12526.96 |
|             |              | Ashland        | Philadelphia   | 155902           | 3488.72  | -10012.54 |
|             |              | Bayview        | Springdale     | 162862           | 3484.09  | -18573.24 |
|             |              | Belleview      | Nichols        | 59976            | 11312.97 | -15948.66 |
|             |              | Blair          | Hamilton       | 206536           | 0.00     | -5402.20  |
|             |              | Brownsville    | Bunker Hill    | 159429           | 580.70   | -7276.98  |
|             |              | Brownsville    | Mechanicsburg  | 60829            | 0.00     | -15113.17 |
|             |              | Brunswick      | Mountain View  | 123733           | 1221.12  | -12504.30 |
|             |              | Buckingham     | Siloam         | 93903            | 391.95   | -1524.54  |
|             |              | Bunker Hill    | Antioch        | 199878           | 420.25   | -6547.77  |
|             |              | Bunker Hill    | Greenfield     | 127182           | 157.73   | 2349.56   |
|             |              | Bunker Hill    | Hopewell       | 53497            | 5228.38  | -1206.03  |
|             |              | Cedar Grove    | Jackson        | 81259            | 82.34    | -7526.45  |
|             |              | Centerville    | Bethel         | 210801           | 0.00     | -13358.77 |
|             |              | Centerville    | Mount Olive    | 66053            | 977.46   | -5915.50  |
|             |              | Centerville    | Mount Zion     | 83650            | 4983.66  | -6892.67  |
|             |              | Centerville    | Providence     | 62604            | 3314.18  | -7542.60  |
|             |              | Clifton        | Mount Vernon   | 95501            | 2510.20  | -12723.39 |
|             |              | Concord        | Stringtown     | 97052            | 1531.39  | -5782.82  |
|             |              | Cordova        | Crossroads     | 85385            | 1071.51  | -12566.80 |
|             |              | Crossroads     | Buena Vista    | 221999           | 1100.11  | -11773.77 |
|             |              | Crossroads     | Unionville     | 58203            | 1676.00  | -4346.63  |
|             |              | Deerfield      | Riverside      | 226924           | 4999.94  | -16878.70 |
