+---------+------------+-----------+-------------+----------------+------------------+
| item_sk | d_date     | web_sales | store_sales | web_cumulative | store_cumulative |
+---------+------------+-----------+-------------+----------------+------------------+
| 101     | 2000-01-27 |           | 51.36       | 102.93         | 51.36            |
| 101     | 2000-02-07 | 147.16    |             | 147.16         | 51.36            |
| 101     | 2000-05-02 | 411.55    |             | 411.55         | 367.06           |
| 101     | 2000-05-12 | 418.18    |             | 418.18         | 367.06           |
| 101     | 2000-06-19 | 576.37    |             | 576.37         | 522.55           |
| 11      | 2000-03-05 | 151.26    |             | 151.26         | 94.43            |
| 110     | 2000-01-16 |           | 2.66        | 91.38          | 2.66             |
| 110     | 2000-01-21 |           | 80.55       | 91.38          | 80.55            |
| 14      | 2000-01-10 | 135.98    |             | 135.98         | 73.88            |
| 14      | 2000-01-29 | 141.97    |             | 141.97         | 73.88            |
| 14      | 2000-02-02 | 188.37    |             | 188.37         | 73.88            |
| 14      | 2000-02-08 |           | 132.92      | 188.37         | 132.92           |
| 14      | 2000-02-19 |           | 136.67      | 188.37         | 136.67           |
| 14      | 2000-02-21 | 232.68    |             | 232.68         | 136.67           |
| 14      | 2000-02-22 |           | 167.46      | 232.68         | 167.46           |
| 14      | 2000-03-28 | 457.10    |             | 457.10         | 243.42           |
| 14      | 2000-03-31 | 462.73    |             | 462.73         | 243.42           |
| 14      | 2000-04-05 |           | 248.54      | 462.73         | 248.54           |
| 14      | 2000-04-15 | 558.42    |             | 558.42         | 248.54           |
| 14      | 2000-04-27 |           | 252.33      | 558.42         | 252.33           |
| 14      | 2000-05-03 |           | 318.57      | 558.42         | 318.57           |
| 14      | 2000-05-10 | 558.81    |             | 558.81         | 318.57           |
| 14      | 2000-05-21 |           | 322.10      | 558.81         | 322.10           |
| 14      | 2000-05-26 | 696.78    |             | 696.78         | 322.10           |
| 14      | 2000-05-29 |           | 322.10      | 696.78         | 322.10           |
| 14      | 2000-06-20 |           | 365.27      | 696.78         | 365.27           |
| 14      | 2000-07-03 | 719.18    |             | 719.18         | 365.27           |
| 14      | 2000-07-07 |           | 417.26      | 719.18         | 417.26           |
| 14      | 2000-07-18 |           | 430.50      | 719.18         | 430.50           |
| 14      | 2000-07-25 | 861.03    |             | 861.03         | 430.50           |
| 14      | 2000-08-10 |           | 436.52      | 861.03         | 436.52           |
| 14      | 2000-08-14 |           | 473.95      | 861.03         | 473.95           |
| 14      | 2000-08-21 |           | 507.13      | 861.03         | 507.13           |
| 14      | 2000-08-26 |           | 509.91      | 861.03         | 509.91           |
| 14      | 2000-08-28 |           | 575.33      | 861.03         | 575.33           |
| 14      | 2000-08-31 |           | 647.81      | 861.03         | 647.81           |
| 14      | 2000-09-01 |           | 700.73      | 861.03         | 700.73           |
| 14      | 2000-09-02 | 914.24    | 767.83      | 914.24         | 767.83           |
| 14      | 2000-09-03 |           | 844.80      | 914.24         | 844.80           |
| 19      | 2000-01-02 | 171.64    | 57.07       | 171.64         | 57.07            |
| 20      | 2000-01-09 | 37.64     |             | 37.64          | 7.25             |
| 25      | 2000-01-28 | 145.80    |             | 145.80         | 37.63            |
| 25      | 2000-02-09 |           | 40.98       | 145.80         | 40.98            |
| 25      | 2000-02-11 |           | 139.21      | 145.80         | 139.21           |
| 25      | 2000-02-21 |           | 143.19      | 145.80         | 143.19           |
| 32      | 2000-02-22 | 76.51     |             | 76.51          | 53.06            |
| 35      | 2000-01-14 |           | 40.94       | 95.44          | 40.94            |
| 37      | 2000-01-02 | 106.22    | 43.81       | 106.22         | 43.81            |
| 37      | 2000-01-04 |           | 106.03      | 106.22         | 106.03           |
