+---------------+-----------+---------------------+
| i_manufact_id | sum_sales | avg_quarterly_sales |
+---------------+-----------+---------------------+
| 134           | 225.26    | 391.317500          |
| 134           | 240.65    | 391.317500          |
| 134           | 449.77    | 391.317500          |
| 134           | 649.59    | 391.317500          |
| 141           | 197.58    | 428.992500          |
| 141           | 321.08    | 428.992500          |
| 141           | 794.81    | 428.992500          |
| 147           | 181.75    | 407.702500          |
| 147           | 195.77    | 407.702500          |
| 147           | 514.21    | 407.702500          |
| 147           | 739.08    | 407.702500          |
| 159           | 120.70    | 432.892500          |
| 159           | 353.38    | 432.892500          |
| 159           | 511.45    | 432.892500          |
| 159           | 746.04    | 432.892500          |
| 242           | 206.99    | 447.075000          |
| 242           | 237.00    | 447.075000          |
| 242           | 346.94    | 447.075000          |
| 242           | 997.37    | 447.075000          |
| 247           | 197.83    | 381.115000          |
| 247           | 289.54    | 381.115000          |
| 247           | 478.79    | 381.115000          |
| 247           | 558.30    | 381.115000          |
| 251           | 114.98    | 444.425000          |
| 251           | 266.16    | 444.425000          |
| 251           | 619.22    | 444.425000          |
| 251           | 777.34    | 444.425000          |
| 272           | 198.52    | 422.992500          |
| 272           | 251.97    | 422.992500          |
| 272           | 533.33    | 422.992500          |
| 272           | 708.15    | 422.992500          |
| 278           | 186.10    | 441.542500          |
| 278           | 274.39    | 441.542500          |
| 278           | 595.33    | 441.542500          |
| 278           | 710.35    | 441.542500          |
| 332           | 228.43    | 451.617500          |
| 332           | 373.65    | 451.617500          |
| 332           | 560.44    | 451.617500          |
| 332           | 643.95    | 451.617500          |
| 360           | 131.29    | 370.025000          |
| 360           | 198.02    | 370.025000          |
| 360           | 266.37    | 370.025000          |
| 360           | 884.42    | 370.025000          |
| 362           | 245.25    | 441.250000          |
| 362           | 327.74    | 441.250000          |
| 362           | 567.34    | 441.250000          |
| 362           | 624.67    | 441.250000          |
| 384           | 243.55    | 418.412500          |
| 384           | 335.90    | 418.412500          |
| 384           | 539.46    | 418.412500          |
| 384           | 554.74    | 418.412500          |
| 39            | 479.18    | 435.015000          |
| 39            | 534.58    | 435.015000          |
| 39            | 631.88    | 435.015000          |
| 39            | 94.42     | 435.015000          |
| 411           | 161.47    | 403.732500          |
| 411           | 254.01    | 403.732500          |
| 411           | 781.15    | 403.732500          |
| 440           | 246.92    | 431.780000          |
| 440           | 632.40    | 431.780000          |
| 440           | 764.11    | 431.780000          |
| 440           | 83.69     | 431.780000          |
| 441           | 281.62    | 452.812500          |
| 441           | 66.59     | 452.812500          |
| 507           | 230.77    | 433.122500          |
| 507           | 363.83    | 433.122500          |
| 507           | 698.57    | 433.122500          |
| 554           | 1024.48   | 402.712500          |
| 554           | 213.69    | 402.712500          |
| 554           | 293.41    | 402.712500          |
| 554           | 79.27     | 402.712500          |
| 619           | 193.92    | 428.682500          |
| 619           | 359.91    | 428.682500          |
| 619           | 689.55    | 428.682500          |
| 621           | 274.67    | 424.125000          |
| 621           | 290.96    | 424.125000          |
| 621           | 326.67    | 424.125000          |
| 621           | 804.20    | 424.125000          |
| 636           | 136.44    | 444.335000          |
| 636           | 284.75    | 444.335000          |
| 636           | 877.04    | 444.335000          |
| 648           | 110.80    | 446.390000          |
| 648           | 208.38    | 446.390000          |
| 648           | 698.37    | 446.390000          |
| 648           | 768.01    | 446.390000          |
| 70            | 145.64    | 432.427500          |
| 70            | 359.22    | 432.427500          |
| 70            | 529.47    | 432.427500          |
| 70            | 695.38    | 432.427500          |
| 812           | 257.48    | 378.627500          |
| 812           | 300.17    | 378.627500          |
| 812           | 310.62    | 378.627500          |
| 812           | 646.24    | 378.627500          |
| 827           | 349.77    | 284.617500          |
| 827           | 417.55    | 284.617500          |
| 827           | 86.44     | 284.617500          |
| 860           | 164.90    | 434.267500          |
| 860           | 380.73    | 434.267500          |
| 860           | 524.21    | 434.267500          |
| 860           | 667.23    | 434.267500          |
+---------------+-----------+---------------------+
