+-------+-----+
| state | cnt |
+-------+-----+
|       | 71  |
| AK    | 22  |
| AL    | 47  |
| AR    | 73  |
| CA    | 55  |
| CO    | 47  |
| FL    | 50  |
| GA    | 144 |
| IA    | 93  |
| ID    | 37  |
| IL    | 113 |
| IN    | 78  |
| KS    | 81  |
| KY    | 106 |
| LA    | 50  |
| MA    | 23  |
| MD    | 19  |
| ME    | 17  |
| MI    | 90  |
| MN    | 79  |
| MO    | 85  |
| MS    | 72  |
| MT    | 55  |
| NC    | 103 |
| ND    | 29  |
| NE    | 88  |
| NH    | 22  |
| NJ    | 19  |
| NM    | 29  |
| NV    | 26  |
| NY    | 50  |
| OH    | 104 |
| OK    | 53  |
| OR    | 23  |
| PA    | 52  |
| SC    | 49  |
| SD    | 33  |
| TN    | 72  |
| TX    | 228 |
| UT    | 29  |
| VA    | 135 |
| VT    | 16  |
| WA    | 52  |
| WI    | 52  |
| WV    | 43  |
| WY    | 11  |
+-------+-----+
