+-----------+-------+------------+------------+---------------+---------------+-------------+-------------+----------------+-------------------------+
| prev_year | year_ | i_brand_id | i_class_id | i_category_id | i_manufact_id | prev_yr_cnt | curr_yr_cnt | sales_cnt_diff | sales_amt_diff          |
+-----------+-------+------------+------------+---------------+---------------+-------------+-------------+----------------+-------------------------+
| 2001      | 2002  | 10002014   | 1          | 9             | 12            | 5230        | 4175        | -1055          | -120668.120000000000000 |
| 2001      | 2002  | 10005001   | 5          | 9             | 65            | 5757        | 4539        | -1218          | -42257.620000000000000  |
| 2001      | 2002  | 1001001    | 5          | 9             | 172           | 5732        | 4567        | -1165          | -86618.260000000000000  |
| 2001      | 2002  | 10011013   | 11         | 9             | 123           | 5336        | 4406        | -930           | -87959.960000000000000  |
| 2001      | 2002  | 1002001    | 10         | 9             | 238           | 5146        | 3737        | -1409          | -22597.300000000000000  |
| 2001      | 2002  | 1003001    | 3          | 9             | 242           | 6116        | 4527        | -1589          | -26092.370000000000000  |
| 2001      | 2002  | 1004001    | 4          | 9             | 286           | 5461        | 4544        | -917           | -48888.210000000000000  |
| 2001      | 2002  | 2001001    | 1          | 9             | 177           | 6193        | 4729        | -1464          | -75154.330000000000000  |
| 2001      | 2002  | 2001001    | 1          | 9             | 53            | 6041        | 4931        | -1110          | 1510.310000000000000    |
| 2001      | 2002  | 2001001    | 7          | 9             | 85            | 5804        | 3901        | -1903          | -113006.600000000000000 |
| 2001      | 2002  | 2004001    | 4          | 9             | 178           | 5664        | 4607        | -1057          | -22015.070000000000000  |
| 2001      | 2002  | 4001001    | 15         | 9             | 42            | 5377        | 4458        | -919           | -31638.020000000000000  |
| 2001      | 2002  | 4002001    | 2          | 9             | 891           | 6032        | 5089        | -943           | -78697.180000000000000  |
| 2001      | 2002  | 4004001    | 10         | 9             | 105           | 6061        | 4940        | -1121          | -29300.450000000000000  |
| 2001      | 2002  | 4004001    | 4          | 9             | 138           | 6044        | 4921        | -1123          | -48818.360000000000000  |
| 2001      | 2002  | 5001001    | 10         | 9             | 136           | 5780        | 4870        | -910           | -16443.310000000000000  |
| 2001      | 2002  | 5002001    | 2          | 9             | 189           | 5814        | 4893        | -921           | -42550.130000000000000  |
| 2001      | 2002  | 5002001    | 2          | 9             | 230           | 6642        | 5460        | -1182          | -75568.610000000000000  |
