+-------------+--------------+--------------------------------------+------------------+----------+-----------+
| c_last_name | c_first_name | substr(ms.s_city,Int64(1),Int64(30)) | ss_ticket_number | amt      | profit    |
+-------------+--------------+--------------------------------------+------------------+----------+-----------+
|             |              | Fairview                             | 125748           | 6517.12  | -11035.56 |
|             |              | Fairview                             | 129036           | 600.01   | -6430.56  |
|             |              | Fairview                             | 142379           | 0.00     | -4215.78  |
|             |              | Fairview                             | 146799           | 1068.86  | -6405.03  |
|             |              | Fairview                             | 158139           | 4396.37  | -13020.45 |
|             |              | Fairview                             | 163421           | 1374.10  | -3196.51  |
|             |              | Fairview                             | 167006           | 82.87    | -14576.82 |
|             |              | Fairview                             | 191089           | 6766.29  | -13263.36 |
|             |              | Fairview                             | 198542           | 1133.62  | -3800.52  |
|             |              | Fairview                             | 213610           | 3161.48  | -15790.23 |
|             |              | Fairview                             | 228288           | 2615.94  | -5642.11  |
|             |              | Fairview                             | 230904           | 0.00     | -1123.68  |
|             |              | Fairview                             | 30114            | 0.00     | 2558.68   |
|             |              | Fairview                             | 30114            | 1531.51  | -10152.50 |
|             |              | Fairview                             | 34621            | 704.60   | -5586.87  |
|             |              | Fairview                             | 66717            | 2535.13  | -9902.89  |
|             |              | Fairview                             | 66813            | 272.03   | -8104.71  |
|             |              | Fairview                             | 7153             | 219.72   | -11749.39 |
|             |              | Midway                               | 102114           | 617.65   | -13888.54 |
|             |              | Midway                               | 103268           | 0.00     | -9160.35  |
|             |              | Midway                               | 10538            | 2257.78  | -5460.12  |
|             |              | Midway                               | 10660            | 1632.34  | -6465.33  |
|             |              | Midway                               | 109728           | 8846.83  | -10736.19 |
|             |              | Midway                               | 109831           | 4260.99  | -15635.94 |
|             |              | Midway                               | 111877           | 70.72    | -8012.10  |
|             |              | Midway                               | 113867           | 229.03   | -8203.35  |
|             |              | Midway                               | 115373           | 419.52   | -15655.52 |
|             |              | Midway                               | 117187           | 742.86   | -23401.99 |
|             |              | Midway                               | 118548           | 2366.60  | -15070.44 |
|             |              | Midway                               | 123717           | 564.68   | -20689.34 |
|             |              | Midway                               | 13073            | 3994.35  | -16930.15 |
|             |              | Midway                               | 13424            | 2738.80  | -14444.89 |
|             |              | Midway                               | 144321           | 825.38   | -10916.07 |
|             |              | Midway                               | 145180           | 5228.92  | -11472.84 |
|             |              | Midway                               | 147740           | 500.31   | -17925.19 |
|             |              | Midway                               | 152765           | 648.30   | -6530.17  |
|             |              | Midway                               | 152807           | 5397.19  | -13857.50 |
|             |              | Midway                               | 153218           | 2845.69  | -9144.62  |
|             |              | Midway                               | 153601           | 317.11   | -14878.56 |
|             |              | Midway                               | 154925           |          |           |
|             |              | Midway                               | 157905           | 677.65   | -16379.19 |
|             |              | Midway                               | 159742           | 39.59    | -5732.03  |
|             |              | Midway                               | 16363            | 0.00     |           |
|             |              | Midway                               | 16363            | 3715.96  | -8302.37  |
|             |              | Midway                               | 164719           | 83.40    | -8350.70  |
|             |              | Midway                               | 177932           | 443.33   | -12481.29 |
|             |              | Midway                               | 178696           | 1001.50  | -10780.50 |
|             |              | Midway                               | 180616           | 1048.13  | -7581.10  |
|             |              | Midway                               | 185866           | 2335.79  | -5883.82  |
|             |              | Midway                               | 188806           | 32.83    | -17621.14 |
|             |              | Midway                               | 195477           | 5203.55  | -7844.40  |
|             |              | Midway                               | 2018             | 1840.49  | -13243.30 |
|             |              | Midway                               | 207733           | 1761.03  | -6730.55  |
|             |              | Midway                               | 210261           | 5042.14  | -9085.67  |
|             |              | Midway                               | 214448           | 975.84   | -6801.30  |
|             |              | Midway                               | 215748           | 100.48   | -5844.14  |
|             |              | Midway                               | 216619           | 13337.96 | -13290.50 |
|             |              | Midway                               | 217339           | 0.00     | -13182.41 |
|             |              | Midway                               | 218338           | 3475.13  | -18444.19 |
|             |              | Midway                               | 22110            | 904.17   | -8859.11  |
|             |              | Midway                               | 22249            | 6322.60  | -13598.81 |
|             |              | Midway                               | 22375            | 6085.26  | -16242.46 |
|             |              | Midway                               | 228411           | 165.94   | -9617.15  |
|             |              | Midway                               | 229149           | 1165.26  | -9288.28  |
|             |              | Midway                               | 229921           | 2708.42  | -4992.39  |
|             |              | Midway                               | 230663           | 3214.41  | -6281.51  |
|             |              | Midway                               | 230745           | 170.50   | -5114.91  |
|             |              | Midway                               | 23868            | 997.38   | -7242.21  |
|             |              | Midway                               | 24453            | 1620.40  | -10488.94 |
|             |              | Midway                               | 25768            | 963.54   | -7000.64  |
|             |              | Midway                               | 2597             | 8245.52  | -14042.53 |
|             |              | Midway                               | 27979            | 331.84   | -17632.32 |
|             |              | Midway                               | 31893            | 1350.64  | -9525.79  |
|             |              | Midway                               | 32870            | 6051.93  | -12466.81 |
|             |              | Midway                               | 362              | 9.01     | -5118.42  |
|             |              | Midway                               | 37443            | 3150.79  | -5895.36  |
|             |              | Midway                               | 44330            | 920.61   | -13781.51 |
|             |              | Midway                               | 51929            | 2270.70  | -7799.68  |
|             |              | Midway                               | 56882            | 1160.00  | -23023.64 |
|             |              | Midway                               | 59324            | 274.29   | -14226.91 |
|             |              | Midway                               | 6159             | 270.59   | -6210.92  |
|             |              | Midway                               | 63058            | 3059.47  | -7905.21  |
|             |              | Midway                               | 64117            | 761.54   | -5061.23  |
|             |              | Midway                               | 69241            | 609.04   | -9830.98  |
|             |              | Midway                               | 70150            | 0.00     | -6607.73  |
|             |              | Midway                               | 72972            | 1672.32  | -12477.23 |
|             |              | Midway                               | 73742            | 9840.53  | -5458.61  |
