+------------------+-------------+--------------------+-------------+--------------------+-------------+---------------------+--------------------+
| item_id          | sr_item_qty | sr_dev             | cr_item_qty | cr_dev             | wr_item_qty | wr_dev              | average            |
+------------------+-------------+--------------------+-------------+--------------------+-------------+---------------------+--------------------+
| AAAAAAAAAHFBAAAA | 75          | 17.24137931034483  | 69          | 15.862068965517242 | 1           | 0.22988505747126436 | 48.333333333333336 |
| AAAAAAAACLJBAAAA | 51          | 25.0               | 14          | 6.862745098039215  | 3           | 1.4705882352941178  | 22.666666666666668 |
| AAAAAAAACOPBAAAA | 11          | 5.913978494623656  | 25          | 13.440860215053762 | 26          | 13.978494623655916  | 20.666666666666668 |
| AAAAAAAADJABAAAA | 71          | 27.84313725490196  | 5           | 1.9607843137254901 | 9           | 3.5294117647058822  | 28.333333333333332 |
| AAAAAAAADLOAAAAA | 94          | 30.42071197411003  | 2           | 0.6472491909385113 | 7           | 2.2653721682847894  | 34.333333333333336 |
| AAAAAAAAEFKAAAAA | 82          | 18.46846846846847  | 23          | 5.18018018018018   | 43          | 9.684684684684685   | 49.333333333333336 |
| AAAAAAAAEINBAAAA | 32          | 23.18840579710145  | 7           | 5.072463768115942  | 7           | 5.072463768115942   | 15.333333333333334 |
| AAAAAAAAFDPCAAAA | 32          | 10.35598705501618  | 50          | 16.181229773462782 | 21          | 6.796116504854369   | 34.333333333333336 |
| AAAAAAAAGJMBAAAA | 73          |                    |             |                    | 10          |                     |                    |
| AAAAAAAAGLBBAAAA | 43          | 9.129511677282377  | 61          | 12.951167728237792 | 53          | 11.252653927813162  | 52.333333333333336 |
| AAAAAAAAGLJDAAAA | 14          | 21.21212121212121  | 4           | 6.0606060606060606 | 4           | 6.0606060606060606  | 7.333333333333333  |
| AAAAAAAAGMFAAAAA | 21          | 11.11111111111111  | 12          | 6.349206349206349  | 30          | 15.873015873015872  | 21.0               |
| AAAAAAAAGNHDAAAA | 36          | 14.814814814814813 | 31          | 12.757201646090536 | 14          | 5.761316872427983   | 27.0               |
| AAAAAAAAIPHCAAAA | 73          | 22.955974842767294 | 21          | 6.60377358490566   | 12          | 3.7735849056603774  | 35.333333333333336 |
| AAAAAAAAJECEAAAA | 70          | 19.943019943019944 | 37          | 10.54131054131054  | 10          | 2.849002849002849   | 39.0               |
| AAAAAAAAJGPBAAAA | 7           | 4.666666666666667  | 16          | 10.666666666666668 | 27          | 18.000000000000004  | 16.666666666666668 |
| AAAAAAAAJPHDAAAA | 11          | 5.392156862745098  | 39          | 19.11764705882353  | 18          | 8.823529411764707   | 22.666666666666668 |
| AAAAAAAAKEPCAAAA | 69          | 12.921348314606742 | 83          | 15.543071161048688 | 26          | 4.868913857677903   | 59.333333333333336 |
| AAAAAAAAKIMCAAAA | 35          | 11.0062893081761   | 57          | 17.92452830188679  | 14          | 4.40251572327044    | 35.333333333333336 |
| AAAAAAAAKPOCAAAA | 56          | 16.231884057971016 | 40          | 11.594202898550725 | 19          | 5.507246376811594   | 38.333333333333336 |
| AAAAAAAAMLFEAAAA | 62          | 19.682539682539684 | 23          | 7.301587301587302  | 20          | 6.349206349206349   | 35.0               |
| AAAAAAAAOMPAAAAA | 15          | 8.771929824561402  | 7           | 4.093567251461988  | 35          | 20.467836257309944  | 19.0               |
| AAAAAAAAPDEAAAAA | 1           | 2.2222222222222223 | 12          | 26.666666666666668 | 2           | 4.444444444444445   | 5.0                |
| AAAAAAAAPELBAAAA | 28          | 16.96969696969697  | 1           | 0.6060606060606061 | 26          | 15.757575757575756  | 18.333333333333332 |
+------------------+-------------+--------------------+-------------+--------------------+-------------+---------------------+--------------------+
