+-------------+-------------+---------------------------------------------------------------------------------------------------------------------+-------------+----------------+-------------+--------------------------------------------------------------------------------------------------------------------+
| r_regionkey | r_name      | r_comment                                                                                                           | n_nationkey | n_name         | n_regionkey | n_comment                                                                                                          |
+-------------+-------------+---------------------------------------------------------------------------------------------------------------------+-------------+----------------+-------------+--------------------------------------------------------------------------------------------------------------------+
| 0           | AFRICA      | ar packages. regular excuses among the ironic requests cajole fluffily blithely final requests. furiously express p | 0           | ALGERIA        | 0           | furiously regular requests. platelets affix furious                                                                |
| 0           | AFRICA      | ar packages. regular excuses among the ironic requests cajole fluffily blithely final requests. furiously express p | 1           | ARGENTINA      | 1           | instructions wake quickly. final deposits haggle. final, silent theodolites                                        |
| 0           | AFRICA      | ar packages. regular excuses among the ironic requests cajole fluffily blithely final requests. furiously express p | 10          | IRAN           | 4           | furiously idle platelets nag. express asymptotes s                                                                 |
| 0           | AFRICA      | ar packages. regular excuses among the ironic requests cajole fluffily blithely final requests. furiously express p | 11          | IRAQ           | 4           | pendencies; slyly express foxes integrate carefully across the reg                                                 |
| 0           | AFRICA      | ar packages. regular excuses among the ironic requests cajole fluffily blithely final requests. furiously express p | 12          | JAPAN          | 2           |  quickly final packages. furiously i                                                                               |
| 0           | AFRICA      | ar packages. regular excuses among the ironic requests cajole fluffily blithely final requests. furiously express p | 13          | JORDAN         | 4           | the slyly regular ideas. silent Tiresias affix slyly fu                                                            |
| 0           | AFRICA      | ar packages. regular excuses among the ironic requests cajole fluffily blithely final requests. furiously express p | 14          | KENYA          | 0           | lyly special foxes. slyly regular deposits sleep carefully. carefully permanent accounts slee                      |
| 0           | AFRICA      | ar packages. regular excuses among the ironic requests cajole fluffily blithely final requests. furiously express p | 15          | MOROCCO        | 0           | ct blithely: blithely express accounts nag carefully. silent packages haggle carefully abo                         |
| 0           | AFRICA      | ar packages. regular excuses among the ironic requests cajole fluffily blithely final requests. furiously express p | 16          | MOZAMBIQUE     | 0           |  beans after the carefully regular accounts r                                                                      |
| 0           | AFRICA      | ar packages. regular excuses among the ironic requests cajole fluffily blithely final requests. furiously express p | 17          | PERU           | 1           | ly final foxes. blithely ironic accounts haggle. regular foxes about the regular deposits are furiously ir         |
| 0           | AFRICA      | ar packages. regular excuses among the ironic requests cajole fluffily blithely final requests. furiously express p | 18          | CHINA          | 2           | ckly special packages cajole slyly. unusual, unusual theodolites mold furiously. slyly sile                        |
| 0           | AFRICA      | ar packages. regular excuses among the ironic requests cajole fluffily blithely final requests. furiously express p | 19          | ROMANIA        | 3           | sly blithe requests. thinly bold deposits above the blithely regular accounts nag special, final requests. care    |
| 0           | AFRICA      | ar packages. regular excuses among the ironic requests cajole fluffily blithely final requests. furiously express p | 2           | BRAZIL         | 1           | asymptotes use fluffily quickly bold instructions. slyly bold dependencies sleep carefully pending accounts        |
| 0           | AFRICA      | ar packages. regular excuses among the ironic requests cajole fluffily blithely final requests. furiously express p | 20          | SAUDI ARABIA   | 4           | se slyly across the blithely regular deposits. deposits use carefully regular                                      |
| 0           | AFRICA      | ar packages. regular excuses among the ironic requests cajole fluffily blithely final requests. furiously express p | 21          | VIETNAM        | 2           | lly across the quickly even pinto beans. caref                                                                     |
| 0           | AFRICA      | ar packages. regular excuses among the ironic requests cajole fluffily blithely final requests. furiously express p | 22          | RUSSIA         | 3           | uctions. furiously unusual instructions sleep furiously ironic packages. slyly                                     |
| 0           | AFRICA      | ar packages. regular excuses among the ironic requests cajole fluffily blithely final requests. furiously express p | 23          | UNITED KINGDOM | 3           | carefully pending courts sleep above the ironic, regular theo                                                      |
| 0           | AFRICA      | ar packages. regular excuses among the ironic requests cajole fluffily blithely final requests. furiously express p | 24          | UNITED STATES  | 1           | ly ironic requests along the slyly bold ideas hang after the blithely special notornis; blithely even accounts     |
| 0           | AFRICA      | ar packages. regular excuses among the ironic requests cajole fluffily blithely final requests. furiously express p | 3           | CANADA         | 1           | ss deposits wake across the pending foxes. packages after the carefully bold requests integrate caref              |
| 0           | AFRICA      | ar packages. regular excuses among the ironic requests cajole fluffily blithely final requests. furiously express p | 4           | EGYPT          | 4           | usly ironic, pending foxes. even, special instructions nag. sly, final foxes detect slyly fluffily                 |
| 0           | AFRICA      | ar packages. regular excuses among the ironic requests cajole fluffily blithely final requests. furiously express p | 5           | ETHIOPIA       | 0           | regular requests sleep carefull                                                                                    |
| 0           | AFRICA      | ar packages. regular excuses among the ironic requests cajole fluffily blithely final requests. furiously express p | 6           | FRANCE         | 3           | oggedly. regular packages solve across                                                                             |
| 0           | AFRICA      | ar packages. regular excuses among the ironic requests cajole fluffily blithely final requests. furiously express p | 7           | GERMANY        | 3           | ong the regular requests: blithely silent pinto beans hagg                                                         |
| 0           | AFRICA      | ar packages. regular excuses among the ironic requests cajole fluffily blithely final requests. furiously express p | 8           | INDIA          | 2           | uriously unusual deposits about the slyly final pinto beans could                                                  |
| 0           | AFRICA      | ar packages. regular excuses among the ironic requests cajole fluffily blithely final requests. furiously express p | 9           | INDONESIA      | 2           | d deposits sleep quickly according to the dogged, regular dolphins. special excuses haggle furiously special reque |
| 1           | AMERICA     | s are. furiously even pinto bea                                                                                     | 0           | ALGERIA        | 0           | furiously regular requests. platelets affix furious                                                                |
| 1           | AMERICA     | s are. furiously even pinto bea                                                                                     | 1           | ARGENTINA      | 1           | instructions wake quickly. final deposits haggle. final, silent theodolites                                        |
| 1           | AMERICA     | s are. furiously even pinto bea                                                                                     | 10          | IRAN           | 4           | furiously idle platelets nag. express asymptotes s                                                                 |
| 1           | AMERICA     | s are. furiously even pinto bea                                                                                     | 11          | IRAQ           | 4           | pendencies; slyly express foxes integrate carefully across the reg                                                 |
| 1           | AMERICA     | s are. furiously even pinto bea                                                                                     | 12          | JAPAN          | 2           |  quickly final packages. furiously i                                                                               |
| 1           | AMERICA     | s are. furiously even pinto bea                                                                                     | 13          | JORDAN         | 4           | the slyly regular ideas. silent Tiresias affix slyly fu                                                            |
| 1           | AMERICA     | s are. furiously even pinto bea                                                                                     | 14          | KENYA          | 0           | lyly special foxes. slyly regular deposits sleep carefully. carefully permanent accounts slee                      |
| 1           | AMERICA     | s are. furiously even pinto bea                                                                                     | 15          | MOROCCO        | 0           | ct blithely: blithely express accounts nag carefully. silent packages haggle carefully abo                         |
| 1           | AMERICA     | s are. furiously even pinto bea                                                                                     | 16          | MOZAMBIQUE     | 0           |  beans after the carefully regular accounts r                                                                      |
| 1           | AMERICA     | s are. furiously even pinto bea                                                                                     | 17          | PERU           | 1           | ly final foxes. blithely ironic accounts haggle. regular foxes about the regular deposits are furiously ir         |
| 1           | AMERICA     | s are. furiously even pinto bea                                                                                     | 18          | CHINA          | 2           | ckly special packages cajole slyly. unusual, unusual theodolites mold furiously. slyly sile                        |
| 1           | AMERICA     | s are. furiously even pinto bea                                                                                     | 19          | ROMANIA        | 3           | sly blithe requests. thinly bold deposits above the blithely regular accounts nag special, final requests. care    |
| 1           | AMERICA     | s are. furiously even pinto bea                                                                                     | 2           | BRAZIL         | 1           | asymptotes use fluffily quickly bold instructions. slyly bold dependencies sleep carefully pending accounts        |
| 1           | AMERICA     | s are. furiously even pinto bea                                                                                     | 20          | SAUDI ARABIA   | 4           | se slyly across the blithely regular deposits. deposits use carefully regular                                      |
| 1           | AMERICA     | s are. furiously even pinto bea                                                                                     | 21          | VIETNAM        | 2           | lly across the quickly even pinto beans. caref                                                                     |
| 1           | AMERICA     | s are. furiously even pinto bea                                                                                     | 22          | RUSSIA         | 3           | uctions. furiously unusual instructions sleep furiously ironic packages. slyly                                     |
| 1           | AMERICA     | s are. furiously even pinto bea                                                                                     | 23          | UNITED KINGDOM | 3           | carefully pending courts sleep above the ironic, regular theo                                                      |
| 1           | AMERICA     | s are. furiously even pinto bea                                                                                     | 24          | UNITED STATES  | 1           | ly ironic requests along the slyly bold ideas hang after the blithely special notornis; blithely even accounts     |
| 1           | AMERICA     | s are. furiously even pinto bea                                                                                     | 3           | CANADA         | 1           | ss deposits wake across the pending foxes. packages after the carefully bold requests integrate caref              |
| 1           | AMERICA     | s are. furiously even pinto bea                                                                                     | 4           | EGYPT          | 4           | usly ironic, pending foxes. even, special instructions nag. sly, final foxes detect slyly fluffily                 |
| 1           | AMERICA     | s are. furiously even pinto bea                                                                                     | 5           | ETHIOPIA       | 0           | regular requests sleep carefull                                                                                    |
| 1           | AMERICA     | s are. furiously even pinto bea                                                                                     | 6           | FRANCE         | 3           | oggedly. regular packages solve across                                                                             |
| 1           | AMERICA     | s are. furiously even pinto bea                                                                                     | 7           | GERMANY        | 3           | ong the regular requests: blithely silent pinto beans hagg                                                         |
| 1           | AMERICA     | s are. furiously even pinto bea                                                                                     | 8           | INDIA          | 2           | uriously unusual deposits about the slyly final pinto beans could                                                  |
| 1           | AMERICA     | s are. furiously even pinto bea                                                                                     | 9           | INDONESIA      | 2           | d deposits sleep quickly according to the dogged, regular dolphins. special excuses haggle furiously special reque |
| 2           | ASIA        | c, special dependencies around                                                                                      | 0           | ALGERIA        | 0           | furiously regular requests. platelets affix furious                                                                |
| 2           | ASIA        | c, special dependencies around                                                                                      | 1           | ARGENTINA      | 1           | instructions wake quickly. final deposits haggle. final, silent theodolites                                        |
| 2           | ASIA        | c, special dependencies around                                                                                      | 10          | IRAN           | 4           | furiously idle platelets nag. express asymptotes s                                                                 |
| 2           | ASIA        | c, special dependencies around                                                                                      | 11          | IRAQ           | 4           | pendencies; slyly express foxes integrate carefully across the reg                                                 |
| 2           | ASIA        | c, special dependencies around                                                                                      | 12          | JAPAN          | 2           |  quickly final packages. furiously i                                                                               |
| 2           | ASIA        | c, special dependencies around                                                                                      | 13          | JORDAN         | 4           | the slyly regular ideas. silent Tiresias affix slyly fu                                                            |
| 2           | ASIA        | c, special dependencies around                                                                                      | 14          | KENYA          | 0           | lyly special foxes. slyly regular deposits sleep carefully. carefully permanent accounts slee                      |
| 2           | ASIA        | c, special dependencies around                                                                                      | 15          | MOROCCO        | 0           | ct blithely: blithely express accounts nag carefully. silent packages haggle carefully abo                         |
| 2           | ASIA        | c, special dependencies around                                                                                      | 16          | MOZAMBIQUE     | 0           |  beans after the carefully regular accounts r                                                                      |
| 2           | ASIA        | c, special dependencies around                                                                                      | 17          | PERU           | 1           | ly final foxes. blithely ironic accounts haggle. regular foxes about the regular deposits are furiously ir         |
| 2           | ASIA        | c, special dependencies around                                                                                      | 18          | CHINA          | 2           | ckly special packages cajole slyly. unusual, unusual theodolites mold furiously. slyly sile                        |
| 2           | ASIA        | c, special dependencies around                                                                                      | 19          | ROMANIA        | 3           | sly blithe requests. thinly bold deposits above the blithely regular accounts nag special, final requests. care    |
| 2           | ASIA        | c, special dependencies around                                                                                      | 2           | BRAZIL         | 1           | asymptotes use fluffily quickly bold instructions. slyly bold dependencies sleep carefully pending accounts        |
| 2           | ASIA        | c, special dependencies around                                                                                      | 20          | SAUDI ARABIA   | 4           | se slyly across the blithely regular deposits. deposits use carefully regular                                      |
| 2           | ASIA        | c, special dependencies around                                                                                      | 21          | VIETNAM        | 2           | lly across the quickly even pinto beans. caref                                                                     |
| 2           | ASIA        | c, special dependencies around                                                                                      | 22          | RUSSIA         | 3           | uctions. furiously unusual instructions sleep furiously ironic packages. slyly                                     |
| 2           | ASIA        | c, special dependencies around                                                                                      | 23          | UNITED KINGDOM | 3           | carefully pending courts sleep above the ironic, regular theo                                                      |
| 2           | ASIA        | c, special dependencies around                                                                                      | 24          | UNITED STATES  | 1           | ly ironic requests along the slyly bold ideas hang after the blithely special notornis; blithely even accounts     |
| 2           | ASIA        | c, special dependencies around                                                                                      | 3           | CANADA         | 1           | ss deposits wake across the pending foxes. packages after the carefully bold requests integrate caref              |
| 2           | ASIA        | c, special dependencies around                                                                                      | 4           | EGYPT          | 4           | usly ironic, pending foxes. even, special instructions nag. sly, final foxes detect slyly fluffily                 |
| 2           | ASIA        | c, special dependencies around                                                                                      | 5           | ETHIOPIA       | 0           | regular requests sleep carefull                                                                                    |
| 2           | ASIA        | c, special dependencies around                                                                                      | 6           | FRANCE         | 3           | oggedly. regular packages solve across                                                                             |
| 2           | ASIA        | c, special dependencies around                                                                                      | 7           | GERMANY        | 3           | ong the regular requests: blithely silent pinto beans hagg                                                         |
| 2           | ASIA        | c, special dependencies around                                                                                      | 8           | INDIA          | 2           | uriously unusual deposits about the slyly final pinto beans could                                                  |
| 2           | ASIA        | c, special dependencies around                                                                                      | 9           | INDONESIA      | 2           | d deposits sleep quickly according to the dogged, regular dolphins. special excuses haggle furiously special reque |
| 3           | EUROPE      | e dolphins are furiously about the carefully                                                                        | 0           | ALGERIA        | 0           | furiously regular requests. platelets affix furious                                                                |
| 3           | EUROPE      | e dolphins are furiously about the carefully                                                                        | 1           | ARGENTINA      | 1           | instructions wake quickly. final deposits haggle. final, silent theodolites                                        |
| 3           | EUROPE      | e dolphins are furiously about the carefully                                                                        | 10          | IRAN           | 4           | furiously idle platelets nag. express asymptotes s                                                                 |
| 3           | EUROPE      | e dolphins are furiously about the carefully                                                                        | 11          | IRAQ           | 4           | pendencies; slyly express foxes integrate carefully across the reg                                                 |
| 3           | EUROPE      | e dolphins are furiously about the carefully                                                                        | 12          | JAPAN          | 2           |  quickly final packages. furiously i                                                                               |
| 3           | EUROPE      | e dolphins are furiously about the carefully                                                                        | 13          | JORDAN         | 4           | the slyly regular ideas. silent Tiresias affix slyly fu                                                            |
| 3           | EUROPE      | e dolphins are furiously about the carefully                                                                        | 14          | KENYA          | 0           | lyly special foxes. slyly regular deposits sleep carefully. carefully permanent accounts slee                      |
| 3           | EUROPE      | e dolphins are furiously about the carefully                                                                        | 15          | MOROCCO        | 0           | ct blithely: blithely express accounts nag carefully. silent packages haggle carefully abo                         |
| 3           | EUROPE      | e dolphins are furiously about the carefully                                                                        | 16          | MOZAMBIQUE     | 0           |  beans after the carefully regular accounts r                                                                      |
| 3           | EUROPE      | e dolphins are furiously about the carefully                                                                        | 17          | PERU           | 1           | ly final foxes. blithely ironic accounts haggle. regular foxes about the regular deposits are furiously ir         |
| 3           | EUROPE      | e dolphins are furiously about the carefully                                                                        | 18          | CHINA          | 2           | ckly special packages cajole slyly. unusual, unusual theodolites mold furiously. slyly sile                        |
| 3           | EUROPE      | e dolphins are furiously about the carefully                                                                        | 19          | ROMANIA        | 3           | sly blithe requests. thinly bold deposits above the blithely regular accounts nag special, final requests. care    |
| 3           | EUROPE      | e dolphins are furiously about the carefully                                                                        | 2           | BRAZIL         | 1           | asymptotes use fluffily quickly bold instructions. slyly bold dependencies sleep carefully pending accounts        |
| 3           | EUROPE      | e dolphins are furiously about the carefully                                                                        | 20          | SAUDI ARABIA   | 4           | se slyly across the blithely regular deposits. deposits use carefully regular                                      |
| 3           | EUROPE      | e dolphins are furiously about the carefully                                                                        | 21          | VIETNAM        | 2           | lly across the quickly even pinto beans. caref                                                                     |
| 3           | EUROPE      | e dolphins are furiously about the carefully                                                                        | 22          | RUSSIA         | 3           | uctions. furiously unusual instructions sleep furiously ironic packages. slyly                                     |
| 3           | EUROPE      | e dolphins are furiously about the carefully                                                                        | 23          | UNITED KINGDOM | 3           | carefully pending courts sleep above the ironic, regular theo                                                      |
| 3           | EUROPE      | e dolphins are furiously about the carefully                                                                        | 24          | UNITED STATES  | 1           | ly ironic requests along the slyly bold ideas hang after the blithely special notornis; blithely even accounts     |
