+-------------+-------------+---------------------------------------------------------------------------------------------------------------------+-------------+----------------+-------------+--------------------------------------------------------------------------------------------------------------------+
| r_regionkey | r_name      | r_comment                                                                                                           | n_nationkey | n_name         | n_regionkey | n_comment                                                                                                          |
+-------------+-------------+---------------------------------------------------------------------------------------------------------------------+-------------+----------------+-------------+--------------------------------------------------------------------------------------------------------------------+
| 0           | AFRICA      | ar packages. regular excuses among the ironic requests cajole fluffily blithely final requests. furiously express p |             |                |             |                                                                                                                    |
| 1           | AMERICA     | s are. furiously even pinto bea                                                                                     | 0           | ALGERIA        | 0           | furiously regular requests. platelets affix furious                                                                |
| 1           | AMERICA     | s are. furiously even pinto bea                                                                                     | 14          | KENYA          | 0           | lyly special foxes. slyly regular deposits sleep carefully. carefully permanent accounts slee                      |
| 1           | AMERICA     | s are. furiously even pinto bea                                                                                     | 15          | MOROCCO        | 0           | ct blithely: blithely express accounts nag carefully. silent packages haggle carefully abo                         |
| 1           | AMERICA     | s are. furiously even pinto bea                                                                                     | 16          | MOZAMBIQUE     | 0           |  beans after the carefully regular accounts r                                                                      |
| 1           | AMERICA     | s are. furiously even pinto bea                                                                                     | 5           | ETHIOPIA       | 0           | regular requests sleep carefull                                                                                    |
| 2           | ASIA        | c, special dependencies around                                                                                      | 0           | ALGERIA        | 0           | furiously regular requests. platelets affix furious                                                                |
| 2           | ASIA        | c, special dependencies around                                                                                      | 1           | ARGENTINA      | 1           | instructions wake quickly. final deposits haggle. final, silent theodolites                                        |
| 2           | ASIA        | c, special dependencies around                                                                                      | 14          | KENYA          | 0           | lyly special foxes. slyly regular deposits sleep carefully. carefully permanent accounts slee                      |
| 2           | ASIA        | c, special dependencies around                                                                                      | 15          | MOROCCO        | 0           | ct blithely: blithely express accounts nag carefully. silent packages haggle carefully abo                         |
| 2           | ASIA        | c, special dependencies around                                                                                      | 16          | MOZAMBIQUE     | 0           |  beans after the carefully regular accounts r                                                                      |
| 2           | ASIA        | c, special dependencies around                                                                                      | 17          | PERU           | 1           | ly final foxes. blithely ironic accounts haggle. regular foxes about the regular deposits are furiously ir         |
| 2           | ASIA        | c, special dependencies around                                                                                      | 2           | BRAZIL         | 1           | asymptotes use fluffily quickly bold instructions. slyly bold dependencies sleep carefully pending accounts        |
| 2           | ASIA        | c, special dependencies around                                                                                      | 24          | UNITED STATES  | 1           | ly ironic requests along the slyly bold ideas hang after the blithely special notornis; blithely even accounts     |
| 2           | ASIA        | c, special dependencies around                                                                                      | 3           | CANADA         | 1           | ss deposits wake across the pending foxes. packages after the carefully bold requests integrate caref              |
| 2           | ASIA        | c, special dependencies around                                                                                      | 5           | ETHIOPIA       | 0           | regular requests sleep carefull                                                                                    |
| 3           | EUROPE      | e dolphins are furiously about the carefully                                                                        | 0           | ALGERIA        | 0           | furiously regular requests. platelets affix furious                                                                |
| 3           | EUROPE      | e dolphins are furiously about the carefully                                                                        | 1           | ARGENTINA      | 1           | instructions wake quickly. final deposits haggle. final, silent theodolites                                        |
| 3           | EUROPE      | e dolphins are furiously about the carefully                                                                        | 12          | JAPAN          | 2           |  quickly final packages. furiously i                                                                               |
| 3           | EUROPE      | e dolphins are furiously about the carefully                                                                        | 14          | KENYA          | 0           | lyly special foxes. slyly regular deposits sleep carefully. carefully permanent accounts slee                      |
| 3           | EUROPE      | e dolphins are furiously about the carefully                                                                        | 15          | MOROCCO        | 0           | ct blithely: blithely express accounts nag carefully. silent packages haggle carefully abo                         |
| 3           | EUROPE      | e dolphins are furiously about the carefully                                                                        | 16          | MOZAMBIQUE     | 0           |  beans after the carefully regular accounts r                                                                      |
